uid,gid,player,del,first,last,name,position1,pat,fgs,fgm,fgl,fp,game,seas,year,team
3423,1723,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,0,2,0,0,6,9,1,2006,NE
3424,1723,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,1,0,0,5,8,2,2006,NYJ
3437,1730,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,1,0,0,4,8,5,2006,TB
3443,1733,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,1,0,0,4,10,2,2006,CHI
3447,1735,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,0,0,0,2,7,11,2006,IND
3450,1737,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,5,0,0,0,5,10,1,2006,NE
3459,1742,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,2,2,0,0,8,9,5,2006,TB
3471,1748,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,1,0,1,0,5,10,5,2006,TB
3479,1752,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,1,1,1,0,8,11,2,2006,CHI
3480,1752,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,2,0,0,1,7,11,1,2006,NE
3483,1754,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,2,2,1,1,17,9,2,2006,NYJ
3491,1758,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,6,0,1,0,10,8,11,2006,IND
3508,1767,SG-0800,KEEP,Stephen,Gostkowski,Stephen Gostkowski,K,2,2,0,0,8,12,1,2006,NE
3510,1768,AV-0400,KEEP,Adam,Vinatieri,Adam Vinatieri,K,2,1,0,0,5,9,11,2006,IND
3516,1771,RG-1500,KEEP,Robbie,Gould,Robbie Gould,K,3,0,0,0,3,12,2,2006,CHI
3518,1772,MN-0800,KEEP,Mike,Nugent,Mike Nugent,K,5,1,0,0,8,10,2,2006,NYJ
3525,1775,MB-4600,KEEP,Matt,Bryant,Matt Bryant,K,0,1,0,0,3,11,5,2006,TB
