gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
432,2001,12,MN,GB,JAC,Alltel Stadium,56,,10,NW,Clear,Grass,44,-4,28,21
433,2001,13,SUN,WAS,ARI,Sun Devil Stadium,71,17,8,E,,Grass,39,1,20,10
434,2001,13,SUN,NO,ATL,Georgia Dome,,,,,Dome,AstroTurf,40,-3,28,10
435,2001,13,SUN,CAR,BUF,Ralph Wilson Stadium,40,73,6,WSW,Partly Sunny,AstroTurf,36.5,3,24,25
436,2001,13,SUN,JAC,CIN,Paul Brown Stadium,42,65,8,N,Sunny,Grass,37,1,14,10
437,2001,13,SUN,NYG,DAL,Texas Stadium,47,35,8,N,Clear,AstroTurf,35,-3.5,13,20
438,2001,13,SUN,CHI,GB,Lambeau Field,33,63,12,S,Sunny,Grass,37,4.5,7,17
439,2001,13,SUN,TEN,MIN,Metrodome,65,,,,Dome,AstroTurf,42,-2,24,42
440,2001,13,SUN,CLE,NE,Foxboro Stadium,37,90,15,N,Clear,Grass,36,5.5,16,27
441,2001,13,SUN,KC,OAK,Network Associates Coliseum,54,66,15,N,Sunny,Grass,44.5,9,26,28
